0,65
0,66
1,2
1,3
1,30
1,31
2,1
2,3
2,33
2,34
3,1
3,2
3,4
4,3
4,41
4,42
4,43
5,6
5,7
5,147
6,5
6,7
7,5
7,6
7,8
7,9
8,7
8,9
8,48
8,49
8,50
9,7
9,8
9,153
10,153
10,155
11,123
11,131
12,125
12,126
13,14
13,15
13,16
14,13
14,15
14,16
14,43
14,127
15,13
15,14
15,16
15,19
15,22
16,13
16,14
16,15
16,17
16,18
17,16
17,18
17,129
18,16
18,17
19,15
19,20
19,21
19,22
20,19
20,21
20,99
20,100
20,101
21,19
21,20
22,15
22,19
22,92
22,94
23,2
24,27
24,32
25,26
25,27
25,28
26,25
26,27
26,29
27,24
27,25
27,26
27,32
28,25
28,30
29,26
29,115
29,118
30,1
30,28
30,31
31,1
31,30
31,107
31,115
32,24
32,27
32,152
33,2
33,34
33,104
33,106
34,2
34,33
34,69
34,71
35,36
35,37
35,38
35,80
35,81
36,35
36,37
36,38
36,67
37,35
37,36
37,38
37,65
38,35
38,36
38,37
38,39
38,40
39,38
39,40
39,82
39,114
40,38
40,39
40,41
40,127
41,4
41,40
41,42
41,43
41,127
42,4
42,41
42,43
42,44
42,45
42,46
43,4
43,14
43,41
43,42
43,127
44,42
44,45
44,46
44,47
45,42
45,44
45,46
45,91
45,93
46,42
46,44
46,45
46,91
46,92
47,44
47,144
48,8
48,49
48,50
48,51
48,52
49,8
49,48
49,50
49,53
49,54
50,8
50,48
50,49
50,58
50,61
51,48
51,52
52,48
52,51
52,53
52,55
53,49
53,52
53,54
53,55
54,49
54,53
54,61
54,62
55,52
55,53
55,63
55,64
56,57
56,58
56,59
57,56
57,62
57,63
58,50
58,56
58,59
58,61
59,56
59,58
59,154
60,97
60,101
61,50
61,54
61,58
61,62
62,54
62,57
62,61
62,63
63,55
63,57
63,62
63,64
64,55
64,63
65,0
65,37
65,66
66,0
66,65
66,148
67,36
67,83
68,77
68,124
69,34
69,70
69,71
70,69
70,72
70,73
71,34
71,69
72,70
72,73
73,70
73,72
73,141
73,144
74,75
74,76
75,74
75,76
76,74
76,75
76,119
76,120
77,68
77,124
78,88
78,89
78,90
79,87
79,89
80,35
80,81
80,86
80,88
81,35
81,80
81,82
82,39
82,81
82,114
83,67
83,84
84,83
84,85
84,86
84,87
85,84
85,86
85,87
86,80
86,84
86,85
86,87
86,88
87,79
87,84
87,85
87,86
87,89
88,78
88,80
88,86
88,89
88,90
89,78
89,79
89,87
89,88
89,90
90,78
90,88
90,89
91,45
91,46
91,92
91,93
92,22
92,46
92,91
92,94
93,45
93,91
93,125
93,133
93,134
94,22
94,92
94,95
94,98
94,99
95,94
95,96
95,97
95,98
95,99
96,95
96,97
96,134
96,145
97,60
97,95
97,96
97,101
98,94
98,95
98,99
99,20
99,94
99,95
99,98
99,100
99,101
100,20
100,99
100,101
101,20
101,60
101,97
101,99
101,100
102,150
103,104
103,105
103,109
103,116
104,33
104,103
104,105
104,106
105,103
105,104
106,33
106,104
106,111
106,116
106,117
107,31
107,108
107,109
107,115
108,107
108,109
108,110
108,111
109,103
109,107
109,108
109,116
110,108
110,111
110,112
110,113
111,106
111,108
111,110
111,116
111,117
112,110
112,113
113,110
113,112
114,39
114,82
114,132
115,29
115,31
115,107
115,118
116,103
116,106
116,109
116,111
116,117
117,106
117,111
117,116
118,29
118,115
118,143
119,76
119,120
120,76
120,119
120,133
120,151
121,122
121,123
122,121
122,123
122,154
122,155
123,11
123,121
123,122
123,131
124,68
124,77
124,135
124,136
124,137
125,12
125,93
125,126
125,133
125,134
126,12
126,125
127,14
127,40
127,41
127,43
128,149
129,17
129,130
129,132
130,129
130,132
131,11
131,123
132,114
132,129
132,130
133,93
133,120
133,125
133,134
133,151
134,93
134,96
134,125
134,133
134,145
135,124
135,136
135,137
136,124
136,135
136,137
137,124
137,135
137,136
138,139
138,140
139,138
139,140
139,141
139,142
140,138
140,139
140,142
141,73
141,139
141,142
141,144
142,139
142,140
142,141
143,118
144,47
144,73
144,141
145,96
145,134
146,12
147,5
147,148
147,149
148,66
148,147
148,149
149,128
149,147
149,148
150,102
150,152
151,120
151,133
152,32
152,150
153,9
153,10
153,155
154,59
154,122
154,155
155,10
155,122
155,153
155,154
